,ECG
0,-0.389404296875
1,-0.381927490234375
2,-0.374755859375
3,-0.367431640625
4,-0.35888671875
5,-0.350494384765625
6,-0.342864990234375
7,-0.334014892578125
8,-0.326080322265625
9,-0.31707763671875
10,-0.30731201171875
11,-0.299072265625
12,-0.29022216796875
13,-0.281829833984375
14,-0.274200439453125
15,-0.265655517578125
16,-0.257415771484375
17,-0.250091552734375
18,-0.242462158203125
19,-0.235443115234375
20,-0.228118896484375
21,-0.22064208984375
22,-0.213470458984375
23,-0.206146240234375
24,-0.19989013671875
25,-0.193634033203125
26,-0.187530517578125
27,-0.1824951171875
28,-0.177764892578125
29,-0.172882080078125
30,-0.1678466796875
31,-0.163421630859375
32,-0.159759521484375
33,-0.15533447265625
34,-0.15228271484375
35,-0.148162841796875
36,-0.144805908203125
37,-0.14068603515625
38,-0.1373291015625
39,-0.1348876953125
40,-0.1324462890625
41,-0.130157470703125
42,-0.1275634765625
43,-0.125274658203125
44,-0.1226806640625
45,-0.120697021484375
46,-0.117950439453125
47,-0.115509033203125
48,-0.113067626953125
49,-0.111541748046875
50,-0.110626220703125
51,-0.1080322265625
52,-0.1068115234375
53,-0.10528564453125
54,-0.103607177734375
55,-0.102081298828125
56,-0.100555419921875
57,-0.0994873046875
58,-0.09796142578125
59,-0.095977783203125
60,-0.0946044921875
61,-0.0933837890625
62,-0.0921630859375
63,-0.0909423828125
64,-0.089874267578125
65,-0.088348388671875
66,-0.087432861328125
67,-0.0872802734375
68,-0.0860595703125
69,-0.0848388671875
70,-0.083465576171875
71,-0.08270263671875
72,-0.081024169921875
73,-0.080108642578125
74,-0.07843017578125
75,-0.07781982421875
76,-0.0762939453125
77,-0.075225830078125
78,-0.07354736328125
79,-0.072784423828125
80,-0.0726318359375
81,-0.071258544921875
82,-0.07049560546875
83,-0.06866455078125
84,-0.067291259765625
85,-0.06622314453125
86,-0.06561279296875
87,-0.0653076171875
88,-0.06378173828125
89,-0.0628662109375
90,-0.0616455078125
91,-0.0604248046875
92,-0.060272216796875
93,-0.05859375
94,-0.058135986328125
95,-0.058441162109375
96,-0.05645751953125
97,-0.055694580078125
98,-0.053863525390625
99,-0.053253173828125
100,-0.05157470703125
101,-0.051116943359375
102,-0.0506591796875
103,-0.04913330078125
104,-0.0482177734375
105,-0.0469970703125
106,-0.045928955078125
107,-0.0457763671875
108,-0.044097900390625
109,-0.043487548828125
110,-0.043182373046875
111,-0.04180908203125
112,-0.041046142578125
113,-0.041046142578125
114,-0.040740966796875
115,-0.0408935546875
116,-0.039520263671875
117,-0.038299560546875
118,-0.0384521484375
119,-0.03814697265625
120,-0.03814697265625
121,-0.037078857421875
122,-0.03631591796875
123,-0.036163330078125
124,-0.035552978515625
125,-0.03570556640625
126,-0.03448486328125
127,-0.0335693359375
128,-0.033111572265625
129,-0.033416748046875
130,-0.03173828125
131,-0.03143310546875
132,-0.0311279296875
133,-0.030670166015625
134,-0.029754638671875
135,-0.0286865234375
136,-0.028533935546875
137,-0.027008056640625
138,-0.026397705078125
139,-0.0262451171875
140,-0.025787353515625
141,-0.025787353515625
142,-0.024871826171875
143,-0.023956298828125
144,-0.023956298828125
145,-0.023651123046875
146,-0.02227783203125
147,-0.0213623046875
148,-0.021209716796875
149,-0.021209716796875
150,-0.0201416015625
151,-0.019073486328125
152,-0.01861572265625
153,-0.018463134765625
154,-0.01861572265625
155,-0.017547607421875
156,-0.016632080078125
157,-0.016326904296875
158,-0.01617431640625
159,-0.01617431640625
160,-0.01617431640625
161,-0.01617431640625
162,-0.014801025390625
163,-0.0140380859375
164,-0.013885498046875
165,-0.0140380859375
166,-0.013580322265625
167,-0.01251220703125
168,-0.0115966796875
169,-0.011444091796875
170,-0.01129150390625
171,-0.0115966796875
172,-0.01007080078125
173,-0.009002685546875
174,-0.00885009765625
175,-0.009002685546875
176,-0.00885009765625
177,-0.009002685546875
178,-0.00885009765625
179,-0.00732421875
180,-0.006866455078125
181,-0.0067138671875
182,-0.006561279296875
183,-0.00640869140625
184,-0.006256103515625
185,-0.0067138671875
186,-0.006256103515625
187,-0.006561279296875
188,-0.00640869140625
189,-0.006561279296875
190,-0.006561279296875
191,-0.006561279296875
192,-0.005340576171875
193,-0.004425048828125
194,-0.004425048828125
195,-0.003662109375
196,-0.004119873046875
197,-0.00396728515625
198,-0.00244140625
199,-0.00152587890625
200,-0.001678466796875
201,-0.001678466796875
202,-0.00152587890625
203,-0.000152587890625
204,0.0006103515625
205,0.00091552734375
206,0.001068115234375
207,0.001068115234375
208,0.00213623046875
209,0.00335693359375
210,0.00335693359375
211,0.0030517578125
212,0.004425048828125
213,0.0054931640625
214,0.005645751953125
215,0.0054931640625
216,0.00579833984375
217,0.0054931640625
218,0.00701904296875
219,0.0079345703125
220,0.00823974609375
221,0.007781982421875
222,0.00823974609375
223,0.00823974609375
224,0.008087158203125
225,0.0079345703125
226,0.008087158203125
227,0.00823974609375
228,0.00823974609375
229,0.0079345703125
230,0.00823974609375
231,0.008087158203125
232,0.00823974609375
233,0.008087158203125
234,0.00823974609375
235,0.008392333984375
236,0.008087158203125
237,0.0079345703125
238,0.008392333984375
239,0.009613037109375
240,0.0103759765625
241,0.01068115234375
242,0.010833740234375
243,0.010833740234375
244,0.010833740234375
245,0.0115966796875
246,0.01312255859375
247,0.01312255859375
248,0.012969970703125
249,0.01434326171875
250,0.015411376953125
251,0.01556396484375
252,0.015411376953125
253,0.016021728515625
254,0.016937255859375
255,0.018157958984375
256,0.01800537109375
257,0.017547607421875
258,0.01953125
259,0.02044677734375
260,0.020599365234375
261,0.020294189453125
262,0.0201416015625
263,0.020294189453125
264,0.022125244140625
265,0.022735595703125
266,0.022735595703125
267,0.023040771484375
268,0.02288818359375
269,0.023345947265625
270,0.02288818359375
271,0.0244140625
272,0.0250244140625
273,0.025482177734375
274,0.025634765625
275,0.02532958984375
276,0.02655029296875
277,0.027618408203125
278,0.027923583984375
279,0.02777099609375
280,0.027618408203125
281,0.02899169921875
282,0.030059814453125
283,0.030059814453125
284,0.030364990234375
285,0.03143310546875
286,0.03265380859375
287,0.032501220703125
288,0.032501220703125
289,0.03265380859375
290,0.0341796875
291,0.035247802734375
292,0.03509521484375
293,0.034942626953125
294,0.0347900390625
295,0.0347900390625
296,0.03509521484375
297,0.03509521484375
298,0.036163330078125
299,0.0372314453125
300,0.037689208984375
301,0.037384033203125
302,0.03753662109375
303,0.037841796875
304,0.037689208984375
305,0.03753662109375
306,0.037994384765625
307,0.037689208984375
308,0.03753662109375
309,0.0390625
310,0.039825439453125
311,0.03936767578125
312,0.0396728515625
313,0.039825439453125
314,0.04119873046875
315,0.041961669921875
316,0.04241943359375
317,0.04241943359375
318,0.043182373046875
319,0.044403076171875
320,0.044708251953125
321,0.044403076171875
322,0.044708251953125
323,0.0457763671875
324,0.046539306640625
325,0.046844482421875
326,0.04730224609375
327,0.04852294921875
328,0.049285888671875
329,0.049285888671875
330,0.049591064453125
331,0.05096435546875
332,0.051727294921875
333,0.052032470703125
334,0.053558349609375
335,0.054168701171875
336,0.054168701171875
337,0.054168701171875
338,0.05401611328125
339,0.055389404296875
340,0.0567626953125
341,0.056915283203125
342,0.058135986328125
343,0.058746337890625
344,0.059051513671875
345,0.06072998046875
346,0.0616455078125
347,0.063018798828125
348,0.06378173828125
349,0.064239501953125
350,0.0653076171875
351,0.066070556640625
352,0.06805419921875
353,0.0689697265625
354,0.07080078125
355,0.0714111328125
356,0.07232666015625
357,0.073699951171875
358,0.075225830078125
359,0.07598876953125
360,0.07781982421875
361,0.078582763671875
362,0.08026123046875
363,0.0811767578125
364,0.082550048828125
365,0.0836181640625
366,0.0848388671875
367,0.086212158203125
368,0.0860595703125
369,0.08758544921875
370,0.0885009765625
371,0.08819580078125
372,0.090179443359375
373,0.0909423828125
374,0.0909423828125
375,0.09246826171875
376,0.0933837890625
377,0.09368896484375
378,0.094757080078125
379,0.09552001953125
380,0.09552001953125
381,0.09735107421875
382,0.09796142578125
383,0.098419189453125
384,0.10009765625
385,0.100555419921875
386,0.10101318359375
387,0.1025390625
388,0.102996826171875
389,0.103302001953125
390,0.104217529296875
391,0.105438232421875
392,0.1055908203125
393,0.1068115234375
394,0.10772705078125
395,0.1080322265625
396,0.109405517578125
397,0.110321044921875
398,0.1104736328125
399,0.112152099609375
400,0.112762451171875
401,0.1129150390625
402,0.114593505859375
403,0.1153564453125
404,0.115509033203125
405,0.1165771484375
406,0.117645263671875
407,0.117950439453125
408,0.11932373046875
409,0.120391845703125
410,0.1202392578125
411,0.120086669921875
412,0.1220703125
413,0.122833251953125
414,0.12298583984375
415,0.122833251953125
416,0.12420654296875
417,0.1251220703125
418,0.124969482421875
419,0.124969482421875
420,0.126495361328125
421,0.127410888671875
422,0.1275634765625
423,0.127716064453125
424,0.12786865234375
425,0.12908935546875
426,0.129852294921875
427,0.1300048828125
428,0.129852294921875
429,0.129547119140625
430,0.130462646484375
431,0.130157470703125
432,0.13031005859375
433,0.1300048828125
434,0.130157470703125
435,0.131378173828125
436,0.132598876953125
437,0.132598876953125
438,0.132293701171875
439,0.133056640625
440,0.132598876953125
