,ECG
0,-0.2915584157055306
1,-0.4080578434226354
2,-0.3612975553486149
3,-0.37546990060220564
4,-0.35345526506002695
5,-0.35377844954490495
6,-0.3406766968106256
7,-0.33533618418846
8,-0.32509235610170345
9,-0.3172127842124213
10,-0.30740261700262306
11,-0.29891221079294006
12,-0.2901542896183549
13,-0.28165339130428846
14,-0.27407723347362667
15,-0.26544218449818513
16,-0.2573041322570339
17,-0.2500810722041517
18,-0.24232576680193746
19,-0.23519232653892327
20,-0.22804147168952071
21,-0.22052669031403294
22,-0.21313921377991332
23,-0.20609907573547717
24,-0.19985313619954034
25,-0.19341021054066168
26,-0.18767219211231703
27,-0.1826106208038076
28,-0.17786411226074433
29,-0.1728734749982441
30,-0.1678102483422585
31,-0.1632884181050045
32,-0.1595325451105354
33,-0.1555962778399518
34,-0.15213583248374649
35,-0.14828168709082162
36,-0.14477050979929496
37,-0.14082137431942637
38,-0.13738136166953593
39,-0.1347946159689485
40,-0.13236987393578895
41,-0.13020822861444944
42,-0.1275817305030488
43,-0.12516234628509706
44,-0.12260779061225388
45,-0.12053453707332866
46,-0.11790866318795215
47,-0.11539497950751308
48,-0.11295836679954926
49,-0.11163679725382279
50,-0.11029729648269111
51,-0.10800239822499555
52,-0.10682574636672602
53,-0.10538583754685033
54,-0.10347207993379788
55,-0.1019871130545631
56,-0.1006265595151331
57,-0.09932427969531456
58,-0.09800513081109559
59,-0.09599762041424714
60,-0.09459527745455056
61,-0.09336269168745064
62,-0.09202468896675778
63,-0.09082655277452287
64,-0.08972516345337422
65,-0.0883686961211601
66,-0.08746862360440522
67,-0.08718335316218356
68,-0.08602456968710159
69,-0.0847988850459565
70,-0.08350882125989215
71,-0.08250127711753741
72,-0.08108350613745627
73,-0.07993331904831125
74,-0.07853899096109884
75,-0.07772652439760945
76,-0.07628426814392726
77,-0.07492838854958127
78,-0.07365647769178217
79,-0.07274783435618104
80,-0.07254531723259591
81,-0.07134904295753569
82,-0.07032019931159833
83,-0.06888160759949778
84,-0.06753681395258168
85,-0.06642998906280125
86,-0.06553911243359813
87,-0.0651745878348899
88,-0.06370251692631919
89,-0.06292506561051824
90,-0.06167827971021839
91,-0.060470773417858045
92,-0.06019518961502086
93,-0.058740437941867264
94,-0.05814385810057228
95,-0.058146326333861124
96,-0.0566609649158779
97,-0.05543452167084177
98,-0.05387302390590355
99,-0.05312265961397628
100,-0.05171255031059635
101,-0.05103517262544838
102,-0.05058861915842523
103,-0.04913178715340694
104,-0.048158949793531046
105,-0.04693194346329118
106,-0.04576002124197576
107,-0.04558474874914679
108,-0.04420833680757693
109,-0.04337838840008552
110,-0.04311043168701288
111,-0.041828292066642
112,-0.04094465722123359
113,-0.04088400290549093
114,-0.04077979545240735
115,-0.04082719317925179
116,-0.0395451232191122
117,-0.03839446491966292
118,-0.03837048319425965
119,-0.03839814422556075
120,-0.03818389989550179
121,-0.03712378269446138
122,-0.03622942556602233
123,-0.03616857422661114
124,-0.03568574514494365
125,-0.03563949793210742
126,-0.034584881952069414
127,-0.0335591452812957
128,-0.03329631786331918
129,-0.03327917132805062
130,-0.03207025682596883
131,-0.03120422871233212
132,-0.031050969401105646
133,-0.03084948600460011
134,-0.029714752623393337
135,-0.028516935957632567
136,-0.02836285597219053
137,-0.02718223177101619
138,-0.026321362556112764
139,-0.026174851885507836
140,-0.02589910746323556
141,-0.025828608494525028
142,-0.024992512256975113
143,-0.023883405165460225
144,-0.023705093575653743
145,-0.023529799466218183
146,-0.0223583656561444
147,-0.021396548286844806
148,-0.021342945840429135
149,-0.021243640253846043
150,-0.02012116057749636
151,-0.01910983495585126
152,-0.01868400780768703
153,-0.01851650587266327
154,-0.01858584077979698
155,-0.017500888064883965
156,-0.01654740904465159
157,-0.01643561074312279
158,-0.016290967959858852
159,-0.01635408646009775
160,-0.016099190508701514
161,-0.016183152511218126
162,-0.014830114987015868
163,-0.013843099697632755
164,-0.01388990047593475
165,-0.013728782172388104
166,-0.0136198380495038
167,-0.012531199744578406
168,-0.011597667168662885
169,-0.011566104543409443
170,-0.011535333461945945
171,-0.011557960157474498
172,-0.010167242653818518
173,-0.00910154948458215
174,-0.00887465927481538
175,-0.00894495997404945
176,-0.008959432810296953
177,-0.008943898077246151
178,-0.00883537445115328
179,-0.007618995277141004
180,-0.006773035605303523
181,-0.0066537813031209425
182,-0.006528086803321489
183,-0.006557866379721835
184,-0.006416573398289974
185,-0.006732221720193043
186,-0.006493618895359989
187,-0.00655875078568052
188,-0.006427146862400004
189,-0.006573979838401942
190,-0.0065764270652802145
191,-0.006430700764376541
192,-0.005265324116171283
193,-0.004270345427146308
194,-0.004248017554075143
195,-0.0038355253673677423
196,-0.004113007990082526
197,-0.0038630090969105613
198,-0.0025837637298011928
199,-0.0016977751632063925
200,-0.0017045800121492114
201,-0.00155701300638166
202,-0.0015165387922279863
203,-0.0002386212835097747
204,0.0006098704044382773
205,0.0009130002550329421
206,0.0008894573554309631
207,0.0010169348340787422
208,0.0022386857803894846
209,0.003177471002987985
210,0.003342433881756058
211,0.0032509845085735975
212,0.004448676327953906
213,0.0055812149315790345
214,0.005682953769582713
215,0.005592307187148298
216,0.00581923928931504
217,0.005698339668670737
218,0.00712544573724666
219,0.008083220486470357
220,0.008233788718295904
221,0.008008113698210969
222,0.008261409100007281
223,0.00815487098495973
224,0.008035040287115467
225,0.00799423559460118
226,0.00803281749541782
227,0.008352527631829056
228,0.008175574478064707
229,0.007960416662372696
230,0.008162356408868246
231,0.008133350334773743
232,0.008201357717512453
233,0.008097979451710953
234,0.008075823418153692
235,0.008138125583997914
236,0.00811530943100685
237,0.008013913955468018
238,0.008453454339852546
239,0.009657055688819104
240,0.010544248707558978
241,0.010609799322622055
242,0.01073097565489989
243,0.010740840894067042
244,0.010867419333853554
245,0.011690786203319757
246,0.013003086872182528
247,0.013083779459809505
248,0.013090136313179837
249,0.01432461942247266
250,0.015277646049407222
251,0.015410608685385851
252,0.01556618176733666
253,0.015921799385256775
254,0.01681405579747988
255,0.017920420582424428
256,0.017905857943905777
257,0.017878970046417482
258,0.019431231376953118
259,0.020328279668928362
260,0.020403183153806934
261,0.0204321206427467
262,0.020208207683778043
263,0.020433313460029634
264,0.021896084690068023
265,0.022729050370049818
266,0.022806061424647653
267,0.022994389302314254
268,0.022787253227122297
269,0.023043513993482874
270,0.023122762094443302
271,0.024426317585640064
272,0.025159553521073595
273,0.025432900551928924
274,0.025545502830036756
275,0.025371590166712896
276,0.026631873224540928
277,0.027566072689811535
278,0.027676957473428337
279,0.02761701477662864
280,0.02769287595477262
281,0.029207866145311397
282,0.029992106360200912
283,0.030070227976135032
284,0.03029386556305507
285,0.031383738303336614
286,0.03258048044842674
287,0.0323909367245026
288,0.03261962759658061
289,0.03277625723551155
290,0.0340297823950103
291,0.03505007958887913
292,0.03500771415341386
293,0.03498468660649273
294,0.034972285054411856
295,0.03505475437860356
296,0.03509426527860744
297,0.03524187406628071
298,0.036266318669295645
299,0.03736585183697874
300,0.03771816454977919
301,0.03728870629468504
302,0.03762872563992528
303,0.03776826795084102
304,0.037627578525193786
305,0.037614069323618285
306,0.03767231542800191
307,0.037432381622062666
308,0.037535002631484495
309,0.038962603732750234
310,0.03967839690770984
311,0.039440236039395796
312,0.039581322603159594
313,0.039796554936982115
314,0.0410805820277458
315,0.04205706327961512
316,0.04224770201551129
317,0.04233266968531149
318,0.04337266525029526
319,0.04441460543883476
320,0.044636494179545426
321,0.04445985023180779
322,0.044554966428590685
323,0.045764264724534806
324,0.04666416364487279
325,0.0467788700767374
326,0.0473356710592213
327,0.048384989800769836
328,0.04932953453596221
329,0.049569834069207154
330,0.04964094323495729
331,0.05087253251995003
332,0.05169349359100072
333,0.052035693627324034
334,0.053411801107781244
335,0.05408031274246154
336,0.05421957541078798
337,0.054248481945831734
338,0.0542300825279017
339,0.055584897530559244
340,0.056854304703076536
341,0.05674115317976437
342,0.057974023484727744
343,0.05899360588366543
344,0.05927947138931639
345,0.060666821906001096
346,0.061665952259594405
347,0.06296609504872076
348,0.06378192449786464
349,0.06421432960355097
350,0.06534087122155666
351,0.06638731260507368
352,0.06794615135811913
353,0.06894253379699884
354,0.07055179196017271
355,0.07144988122336636
356,0.07247760024209696
357,0.07374120438573338
358,0.0750653355717403
359,0.07606023401404131
360,0.07763091651228271
361,0.07863963947636081
362,0.08002567216083775
363,0.08128768457256845
364,0.08259226579723467
365,0.08369150323356009
366,0.08489288305920488
367,0.0860301358131031
368,0.08614216025197678
369,0.08754586136387317
370,0.08861462842640223
371,0.08841935112336377
372,0.09005692880085736
373,0.09095391140941464
374,0.09114891698317219
375,0.09247965525749886
376,0.09341674253083361
377,0.09363404455115633
378,0.09480076649708795
379,0.09579126877687305
380,0.09588774208856615
381,0.0972118275259543
382,0.09807297537002542
383,0.09843327298575377
384,0.09975704412589233
385,0.1004766163473496
386,0.10099491413411724
387,0.10237715894583636
388,0.10304326044211669
389,0.10332956595345662
390,0.10423557846674601
391,0.10541483721790176
392,0.10578567261154913
393,0.10707227836957427
394,0.10778213220414729
395,0.10809050339347195
396,0.10950745089953794
397,0.11031202372586085
398,0.11056691021214221
399,0.11215549299241898
400,0.11274002258725879
401,0.11298528194994496
402,0.11451905353856805
403,0.11533739434108504
404,0.11551764082012407
405,0.11680470693411464
406,0.11785329399474402
407,0.11795261204720026
408,0.11926132543765484
409,0.12036142919542739
410,0.12029304657620402
411,0.12032543142910375
412,0.12170300523896667
413,0.12282253148759255
414,0.12297358460961912
415,0.1228007414718335
416,0.1241020664227735
417,0.12515157102937824
418,0.12515625865277152
419,0.12507383183235435
420,0.12651186390536204
421,0.12738498889170205
422,0.1277179780063448
423,0.1277712668256629
424,0.12776519706442246
425,0.128980335847319
426,0.12994368239769932
427,0.13001355143947227
428,0.1300556067967608
429,0.12995182567768157
430,0.13032394346148168
431,0.1301747702933337
432,0.12998977045652632
433,0.13008497721276058
434,0.13025104449922129
435,0.13131739484687552
436,0.13252338908945138
437,0.13262882827648703
438,0.13255185127620578
439,0.13282334473168023
440,0.1325723076817714
441,0.13382134966065995
442,0.13462865180587327
443,0.1348578434928884
444,0.13494827702707488
445,0.13523120150021525
446,0.1351931481552948
447,0.1351640040032071
448,0.13519239172808828
449,0.1349408490408352
450,0.13492663521967452
451,0.13506141238413488
452,0.13493229819616218
453,0.13521596159778473
454,0.1351118974961478
455,0.1349205560394635
456,0.1351132148155539
457,0.1351386268803745
458,0.13491203002719077
459,0.1348704626150403
460,0.13484922239781663
461,0.13493503587049963
462,0.13461129333925798
463,0.13361847593014345
464,0.13264128876172876
465,0.13264790505580396
466,0.13245304499276575
467,0.13242076894535618
468,0.1324478502525002
469,0.1311074607618346
470,0.1302774175022623
471,0.1300729840838234
472,0.12867631656223494
473,0.12782610739662686
474,0.1274787036746691
475,0.12623206566318612
476,0.12549340244242393
477,0.12396354311739065
478,0.12278752507197992
479,0.12169460542818068
480,0.12043100608366492
481,0.11915529088372742
482,0.11814102833841104
483,0.11655765014220257
484,0.11420774695538523
485,0.11158752596971162
486,0.10956314252784248
487,0.10835541330128913
488,0.10675207899141252
489,0.10460030809943327
490,0.10195384058881568
491,0.0995284688381697
492,0.09723049124959325
493,0.0948113841410516
494,0.09229503953383154
495,0.0897245760235877
496,0.08726959950801012
497,0.08489372482734502
498,0.08109184528738367
499,0.07769074847022746
500,0.0749378533171314
501,0.0726696937961425
502,0.0701548064037922
503,0.0677010416399004
504,0.06514615668062788
505,0.061291393638624875
506,0.058242261059924125
507,0.05562303462164603
508,0.05301850749504155
509,0.05074970508994728
510,0.046949252625680074
511,0.04376292160013864
512,0.04092240537551916
513,0.03836916005920767
514,0.03512791255910368
515,0.031706322338491896
516,0.02888172665745475
517,0.026218065000280982
518,0.0228048275368114
519,0.01937905193706533
520,0.016850619507692628
521,0.01301803738994631
522,0.009679790164499706
523,0.00684151664819871
524,0.003266567771692189
525,-0.00027599392098716493
526,-0.004082101044388539
527,-0.007427285605399809
528,-0.009974560708033722
529,-0.013959364894919696
530,-0.01738905117200433
531,-0.020140501262128734
532,-0.02373286027912883
533,-0.026991182087030094
534,-0.031105647815314857
535,-0.03454834299195001
536,-0.037065618918386084
537,-0.040806632059550596
538,-0.0441826823387164
539,-0.046915485008391836
540,-0.0495241067969611
541,-0.053118285633628984
542,-0.056456786967580316
543,-0.059285820776319595
544,-0.06291213998646766
545,-0.06617116977593843
546,-0.0686938835170494
547,-0.07148554073010183
548,-0.07546294311783347
549,-0.07853415397996925
550,-0.08091670565556364
551,-0.08382071267512954
552,-0.08718556827005353
553,-0.09056147438005752
554,-0.09345537321587176
555,-0.09581507078438552
556,-0.09836141673080243
557,-0.10070916191445715
558,-0.10464729363845607
559,-0.10801870980836983
560,-0.11045358635076229
561,-0.1115953745143396
562,-0.11308313000417675
563,-0.11558354731063945
564,-0.1176917564748632
565,-0.11999313545358
566,-0.12277875823327289
567,-0.1248930758035061
568,-0.1262427060967751
569,-0.12766859136959022
570,-0.12999465691751935
571,-0.13242339134522563
572,-0.1334624338628938
573,-0.13524976188469406
574,-0.13739312116804936
575,-0.1397678656108103
576,-0.14095221621996915
577,-0.14232955784282555
578,-0.14338975630664885
579,-0.14500571075024385
580,-0.14709477891034597
581,-0.1482040946677633
582,-0.1497070178748504
583,-0.15089076143564958
584,-0.15208519169698684
585,-0.1532046389433613
586,-0.1546377445282866
587,-0.15547794417977018
588,-0.1568699152620945
589,-0.15797863475274862
590,-0.15958652009573934
591,-0.16049184227088414
592,-0.1619094646823322
593,-0.16292531970928617
594,-0.16317863132192942
595,-0.16459846086945307
596,-0.16527459904916594
597,-0.16554849447727246
598,-0.1668820041541862
599,-0.16754356518472807
600,-0.16789540255669588
601,-0.16917427734621526
602,-0.17008153174157484
603,-0.1703820818417597
604,-0.17030491056445884
605,-0.17163511407160323
606,-0.17274341301174517
607,-0.172895028823952
608,-0.17263817250184782
609,-0.17276547378968307
610,-0.17282370457938884
611,-0.17286003618708215
612,-0.17283701101609283
613,-0.17406191542349878
614,-0.17491998070785317
615,-0.17513399907924013
616,-0.17525915427639804
617,-0.17528734453188216
618,-0.17529107709454642
619,-0.17527623928484545
620,-0.17520234068758045
621,-0.17502354420516683
622,-0.1740260797239773
623,-0.17286474144810274
624,-0.17296105438803588
625,-0.1727195031979303
626,-0.1727241707678176
627,-0.17164259567849302
628,-0.17059887250291064
629,-0.17025751771586534
630,-0.1691218493734551
631,-0.16805599272644536
632,-0.16800678361622962
633,-0.16780650118430043
634,-0.1666667148322384
635,-0.16581569682641517
636,-0.16552484983002794
637,-0.16547041806482402
638,-0.16533467110640698
639,-0.16428576992261187
640,-0.16323253760491788
641,-0.16315179442682998
642,-0.1631096546991013
643,-0.16288665191635876
644,-0.16304492864929704
645,-0.16328363942527502
646,-0.1631261095746681
647,-0.16162361933170852
648,-0.16056502273873952
649,-0.160672758116664
650,-0.1607160799601784
651,-0.1605621488275665
652,-0.15923802104135593
653,-0.1580634520072862
654,-0.15791128957910874
655,-0.15813605429189798
656,-0.15819312427861504
657,-0.15701769074345684
658,-0.15600682163079257
659,-0.15563386069248622
660,-0.1556278188597296
661,-0.15444351248019755
662,-0.15335552416195017
663,-0.1534318947151722
664,-0.15348749608297615
665,-0.15329633215731206
666,-0.15180558091790008
667,-0.15117842886902
668,-0.15084310638949014
669,-0.15059554526673086
670,-0.14959354203051142
671,-0.1488507409930847
672,-0.14866730169267117
673,-0.14823978528611823
674,-0.1472778396569022
675,-0.14608620043000903
676,-0.14593774969311732
677,-0.1458480041884907
678,-0.14443346810936758
679,-0.14350926628234575
680,-0.14364510256217375
681,-0.14342341364546804
682,-0.14223976629617063
683,-0.1411741649585813
684,-0.14095818993040465
685,-0.1397716282173099
686,-0.1387939603755082
687,-0.1386865977939067
688,-0.1368893463545578
689,-0.1362874795286536
690,-0.1349849231653402
691,-0.13400349543300802
692,-0.13353116003040377
693,-0.13243594008275333
694,-0.13135246685098254
695,-0.12997463423862987
696,-0.129054534859199
697,-0.12760645574661805
698,-0.12657036664259216
699,-0.1250915197832277
700,-0.12385658032581094
701,-0.12401202046321293
702,-0.12260355544070518
703,-0.12184381630764166
704,-0.12137514215227954
705,-0.12014248027017925
706,-0.11936946336650486
707,-0.11888745562950298
708,-0.11881438984333216
709,-0.11769006941766952
710,-0.1166322126803084
711,-0.11662667187048599
712,-0.11512020779462308
713,-0.11432570807887589
714,-0.11390523364080757
715,-0.11300713827653967
716,-0.11172654964992172
