,ECG
0,-0.389404296875
1,-0.381927490234375
2,-0.37811279296875
3,-0.374755859375
4,-0.367431640625
5,-0.362701416015625
6,-0.35888671875
7,-0.350494384765625
8,-0.34637451171875
9,-0.342864990234375
10,-0.334014892578125
11,-0.32958984375
12,-0.326080322265625
13,-0.31707763671875
14,-0.312042236328125
15,-0.30731201171875
16,-0.299072265625
17,-0.29449462890625
18,-0.29022216796875
19,-0.281829833984375
20,-0.2777099609375
21,-0.274200439453125
22,-0.265655517578125
23,-0.26092529296875
24,-0.257415771484375
25,-0.250091552734375
26,-0.246124267578125
27,-0.242462158203125
28,-0.235443115234375
29,-0.231475830078125
30,-0.228118896484375
31,-0.22064208984375
32,-0.216522216796875
33,-0.213470458984375
34,-0.206146240234375
35,-0.20294189453125
36,-0.19989013671875
37,-0.193634033203125
38,-0.190277099609375
39,-0.187530517578125
40,-0.1824951171875
41,-0.180206298828125
42,-0.177764892578125
43,-0.172882080078125
44,-0.170135498046875
45,-0.1678466796875
46,-0.163421630859375
47,-0.160980224609375
48,-0.159759521484375
49,-0.15533447265625
50,-0.15380859375
51,-0.15228271484375
52,-0.148162841796875
53,-0.146484375
54,-0.144805908203125
55,-0.14068603515625
56,-0.139007568359375
57,-0.1373291015625
58,-0.1348876953125
59,-0.13336181640625
60,-0.1324462890625
61,-0.130157470703125
62,-0.128936767578125
63,-0.1275634765625
64,-0.125274658203125
65,-0.123748779296875
66,-0.1226806640625
67,-0.120697021484375
68,-0.119171142578125
69,-0.117950439453125
70,-0.115509033203125
71,-0.113983154296875
72,-0.113067626953125
73,-0.111541748046875
74,-0.111083984375
75,-0.110626220703125
76,-0.1080322265625
77,-0.107421875
78,-0.1068115234375
79,-0.10528564453125
80,-0.104522705078125
81,-0.103607177734375
82,-0.102081298828125
83,-0.101470947265625
84,-0.100555419921875
85,-0.0994873046875
86,-0.098724365234375
87,-0.09796142578125
88,-0.095977783203125
89,-0.09521484375
90,-0.0946044921875
91,-0.0933837890625
92,-0.092620849609375
93,-0.0921630859375
94,-0.0909423828125
95,-0.090179443359375
96,-0.089874267578125
97,-0.088348388671875
98,-0.087890625
99,-0.087432861328125
100,-0.0872802734375
101,-0.086669921875
102,-0.0860595703125
103,-0.0848388671875
104,-0.084228515625
105,-0.083465576171875
106,-0.08270263671875
107,-0.081787109375
108,-0.081024169921875
109,-0.080108642578125
110,-0.079193115234375
111,-0.07843017578125
112,-0.07781982421875
113,-0.077056884765625
114,-0.0762939453125
115,-0.075225830078125
116,-0.07415771484375
117,-0.07354736328125
118,-0.072784423828125
119,-0.072479248046875
120,-0.0726318359375
121,-0.071258544921875
122,-0.070648193359375
123,-0.07049560546875
124,-0.06866455078125
125,-0.068359375
126,-0.067291259765625
127,-0.06622314453125
128,-0.06591796875
129,-0.06561279296875
130,-0.0653076171875
131,-0.06439208984375
132,-0.06378173828125
133,-0.0628662109375
134,-0.06256103515625
135,-0.0616455078125
136,-0.0604248046875
137,-0.0604248046875
138,-0.060272216796875
139,-0.05859375
140,-0.058441162109375
141,-0.058135986328125
142,-0.058441162109375
143,-0.057525634765625
144,-0.05645751953125
145,-0.055694580078125
146,-0.054473876953125
147,-0.053863525390625
148,-0.053253173828125
149,-0.052490234375
150,-0.05157470703125
151,-0.051116943359375
152,-0.050811767578125
153,-0.0506591796875
154,-0.04913330078125
155,-0.04852294921875
156,-0.0482177734375
157,-0.0469970703125
158,-0.04608154296875
159,-0.045928955078125
160,-0.0457763671875
161,-0.045013427734375
162,-0.044097900390625
163,-0.043487548828125
164,-0.043182373046875
165,-0.043182373046875
166,-0.04180908203125
167,-0.04119873046875
168,-0.041046142578125
169,-0.041046142578125
170,-0.040740966796875
171,-0.040740966796875
172,-0.0408935546875
173,-0.040283203125
174,-0.039520263671875
175,-0.038299560546875
176,-0.038299560546875
177,-0.0384521484375
178,-0.03814697265625
179,-0.038604736328125
180,-0.03814697265625
181,-0.037078857421875
182,-0.03662109375
183,-0.03631591796875
184,-0.036163330078125
185,-0.036163330078125
186,-0.035552978515625
187,-0.03570556640625
188,-0.035400390625
189,-0.03448486328125
190,-0.0335693359375
191,-0.0335693359375
192,-0.033111572265625
193,-0.033416748046875
194,-0.032958984375
195,-0.03173828125
196,-0.03143310546875
197,-0.03082275390625
198,-0.0311279296875
199,-0.030670166015625
200,-0.030517578125
201,-0.029754638671875
202,-0.0286865234375
203,-0.028228759765625
204,-0.028533935546875
205,-0.027008056640625
206,-0.026702880859375
207,-0.026397705078125
208,-0.0262451171875
209,-0.026092529296875
210,-0.025787353515625
211,-0.025787353515625
212,-0.025634765625
213,-0.024871826171875
214,-0.023956298828125
215,-0.02349853515625
216,-0.023956298828125
217,-0.023651123046875
218,-0.023040771484375
219,-0.02227783203125
220,-0.0213623046875
221,-0.0213623046875
222,-0.021209716796875
223,-0.021209716796875
224,-0.020751953125
225,-0.0201416015625
226,-0.019073486328125
227,-0.0189208984375
228,-0.01861572265625
229,-0.018463134765625
230,-0.01861572265625
231,-0.01861572265625
232,-0.017547607421875
233,-0.01678466796875
234,-0.016632080078125
235,-0.016326904296875
236,-0.0164794921875
237,-0.01617431640625
238,-0.01617431640625
239,-0.016326904296875
240,-0.01617431640625
241,-0.01617431640625
242,-0.015869140625
243,-0.014801025390625
244,-0.0140380859375
245,-0.013885498046875
246,-0.013885498046875
247,-0.0140380859375
248,-0.013580322265625
249,-0.013580322265625
250,-0.01251220703125
251,-0.01190185546875
252,-0.0115966796875
253,-0.011444091796875
254,-0.011749267578125
255,-0.01129150390625
256,-0.0115966796875
257,-0.010986328125
258,-0.01007080078125
259,-0.009002685546875
260,-0.009002685546875
261,-0.00885009765625
262,-0.009002685546875
263,-0.009002685546875
264,-0.00885009765625
265,-0.009002685546875
266,-0.00885009765625
267,-0.00885009765625
268,-0.00732421875
269,-0.007171630859375
270,-0.006866455078125
271,-0.0067138671875
272,-0.006561279296875
273,-0.006561279296875
274,-0.00640869140625
275,-0.0067138671875
276,-0.006256103515625
277,-0.0067138671875
278,-0.006866455078125
279,-0.006256103515625
280,-0.006561279296875
281,-0.006561279296875
282,-0.00640869140625
283,-0.006561279296875
284,-0.0067138671875
285,-0.006561279296875
286,-0.006561279296875
287,-0.005950927734375
288,-0.005340576171875
289,-0.004425048828125
290,-0.004119873046875
291,-0.004425048828125
292,-0.003662109375
293,-0.004119873046875
294,-0.004119873046875
295,-0.00396728515625
296,-0.00335693359375
297,-0.00244140625
298,-0.00152587890625
299,-0.0018310546875
300,-0.001678466796875
301,-0.001678466796875
302,-0.00152587890625
303,-0.00152587890625
304,-0.000152587890625
305,0.00030517578125
306,0.0006103515625
307,0.00091552734375
308,0.00091552734375
309,0.001068115234375
310,0.001068115234375
311,0.001678466796875
312,0.00213623046875
313,0.00335693359375
314,0.003204345703125
315,0.00335693359375
316,0.0030517578125
317,0.003814697265625
318,0.004425048828125
319,0.0054931640625
320,0.00579833984375
321,0.005645751953125
322,0.0054931640625
323,0.00579833984375
324,0.00579833984375
325,0.0054931640625
326,0.00640869140625
327,0.00701904296875
328,0.0079345703125
329,0.00823974609375
330,0.00823974609375
331,0.007781982421875
332,0.00823974609375
333,0.00823974609375
334,0.00823974609375
335,0.0079345703125
336,0.008087158203125
337,0.0079345703125
338,0.0079345703125
339,0.008087158203125
340,0.00823974609375
341,0.008392333984375
342,0.00823974609375
343,0.0079345703125
344,0.008087158203125
345,0.00823974609375
346,0.008087158203125
347,0.00823974609375
348,0.00823974609375
349,0.008087158203125
350,0.008087158203125
351,0.00823974609375
352,0.008392333984375
353,0.008087158203125
354,0.008087158203125
355,0.0079345703125
356,0.00823974609375
357,0.008392333984375
358,0.009613037109375
359,0.0103759765625
360,0.0103759765625
361,0.01068115234375
362,0.010528564453125
363,0.010833740234375
364,0.010833740234375
365,0.01068115234375
366,0.010833740234375
367,0.0115966796875
368,0.012359619140625
369,0.01312255859375
370,0.01312255859375
371,0.012969970703125
372,0.012969970703125
373,0.01434326171875
374,0.014801025390625
375,0.015411376953125
376,0.01556396484375
377,0.015411376953125
378,0.015411376953125
379,0.016021728515625
380,0.016021728515625
381,0.016937255859375
382,0.018157958984375
383,0.0177001953125
384,0.01800537109375
385,0.017547607421875
386,0.01861572265625
387,0.01953125
388,0.02044677734375
389,0.0201416015625
390,0.020599365234375
391,0.020294189453125
392,0.02044677734375
393,0.0201416015625
394,0.020294189453125
395,0.02105712890625
396,0.022125244140625
397,0.022735595703125
398,0.02288818359375
399,0.022735595703125
400,0.023040771484375
401,0.02288818359375
402,0.02288818359375
403,0.023345947265625
404,0.023040771484375
405,0.02288818359375
406,0.0244140625
407,0.0250244140625
408,0.0250244140625
409,0.025482177734375
410,0.025482177734375
411,0.025634765625
412,0.02532958984375
413,0.02593994140625
414,0.02655029296875
415,0.027618408203125
416,0.0274658203125
417,0.027923583984375
418,0.02777099609375
419,0.0274658203125
420,0.027618408203125
421,0.02899169921875
422,0.0299072265625
423,0.030059814453125
424,0.030059814453125
425,0.03021240234375
426,0.030364990234375
427,0.03143310546875
428,0.032196044921875
429,0.03265380859375
430,0.032501220703125
431,0.032501220703125
