,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Order,Detrend_Position,Filter_Order,Filter_Low,Filter_High,Difference_Mean,Difference_SD
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.0,3.0,-0.007864575235395504,0.06211948522888626
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.0,2.0,-0.007897977782610812,0.06237152093449694
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.0,1.0,-0.007894260821162956,0.06172952382182367
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.0,0.35,-0.007887938905205547,0.05997641581940926
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.0,0.25,-0.007865226721133824,0.05986202383087521
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.05,3.0,-0.00803950247983892,0.0628335064870346
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.05,2.0,-0.00803912400354601,0.06274061305300531
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.05,1.0,-0.007929501279370274,0.06194318052211696
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.05,0.35,-0.00808061320135592,0.06073007816281857
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.05,0.25,-0.009034198340211335,0.06387399006119292
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.1,3.0,-0.008065296083510174,0.06404739520766378
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.1,2.0,-0.007941518340106861,0.06364715699348494
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.1,1.0,-0.007968959014710255,0.06231247416203199
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.1,0.35,-0.008084325696364228,0.058415247330491686
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.1,0.25,-0.011681152179485446,0.06602486944792971
0,120,1000,15,Simple,0.01,1.0,0,First,1,0.15,3.0,-0.00780306432231687,0.06479096432503642
