,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Method,Detrend_Order,Detrend_Regularization,Detrend_Alpha,Detrend_Position,Filter_Method,Filter_Type,Filter_Order,Filter_Low,Filter_High,Difference_Rate_Mean,Difference_Rate_SD,Difference_Cleaned_Mean,Difference_Cleaned_SD
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,None,None,5,,,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,35.0,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,35.0,-0.040002103000837334,0.17638812311586902,-0.0009224225185903668,0.11905766242804186
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,35.0,-0.040005303050843766,0.17651258156204785,-0.0002478724880937939,0.07675972312902085
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,35.0,-0.040005303050843766,0.17651258156204785,0.00033901891474079864,0.05271102378615843
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,35.0,-0.041847057216333416,0.17806100534917782,-0.0002527247558028366,0.039368437916068526
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,35.0,-0.041847057216333416,0.17806100534917782,-0.0028467560943673713,0.03313567923873005
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,35.0,-0.042478919957549426,0.17819258734111088,-0.007719401034176712,0.04720972140044256
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,35.0,-0.04246588899059586,0.17899561576414222,-0.014372361920957635,0.07865498715204017
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,35.0,-0.04436435142538592,0.17991612225747147,-0.021527500000445385,0.11307454511669165
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,35.0,-0.044725742940697394,0.18421347974798222,-0.027369790280068605,0.1398435571101702
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,35.0,-0.0399860903772607,0.17634079338957845,-0.0017938998163081858,0.008113655458797402
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,37.77777777777778,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,37.77777777777778,-0.040002103000837334,0.17638812311586902,-0.001013953620026708,0.10749707951242812
