Value,Score,Method,Metric,Channel,Optimal,What,Participant,Condition,SamplingRate,MaxFreq,Duration,Dataset
1,0.9379804667373772,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.31449420682667295,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.1704527930625197,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.15858197054860224,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.1681414520142921,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,0.16988922786546734,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,0.17396141882173755,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,0.16853582886510665,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,0.16208024792676845,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,0.15660788138965387,fraser1986,Mutual Information,Fp1,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.8277517817173523,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.45681118625521155,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.12852107727643405,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,-0.058757034420635824,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,-0.1377518255032496,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,-0.16811530323680493,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,-0.1751330192500179,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,-0.1540338992725382,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,-0.09991941250129856,rosenstein1993,Autocorrelation (FFT),Fp1,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
