Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.008976,,2.0,None,GUDB_00,GUDB_sitting,none
250,0.007978,,2.0,None,GUDB_00,GUDB_maths,none
250,0.007979,,2.0,None,GUDB_00,GUDB_walking,none
250,0.008976,,2.0,None,GUDB_00,GUDB_hand_bike,none
250,0.011968,,2.0,None,GUDB_00,GUDB_jogging,none
250,0.01496,,2.0,None,GUDB_01,GUDB_sitting,none
250,0.011968,,2.0,None,GUDB_01,GUDB_maths,none
250,0.009973,,2.0,None,GUDB_01,GUDB_walking,none
250,0.010971,,2.0,None,GUDB_01,GUDB_hand_bike,none
250,0.011968,,2.0,None,GUDB_01,GUDB_jogging,none
250,0.007979,,2.0,None,GUDB_02,GUDB_sitting,none
250,0.008975,,2.0,None,GUDB_02,GUDB_maths,none
250,0.008976,,2.0,None,GUDB_02,GUDB_walking,none
250,0.011968,,2.0,None,GUDB_02,GUDB_jogging,none
250,0.007978,,2.0,None,GUDB_03,GUDB_sitting,none
250,0.008976,,2.0,None,GUDB_03,GUDB_maths,none
250,0.008976,,2.0,None,GUDB_03,GUDB_walking,none
250,0.008976,,2.0,None,GUDB_03,GUDB_hand_bike,none
250,0.010971,,2.0,None,GUDB_03,GUDB_jogging,none
250,0.007978,,2.0,None,GUDB_04,GUDB_sitting,none
250,0.007979,,2.0,None,GUDB_04,GUDB_maths,none
250,0.007979,,2.0,None,GUDB_04,GUDB_walking,none
250,0.008976,,2.0,None,GUDB_04,GUDB_hand_bike,none
250,0.013962,,2.0,None,GUDB_04,GUDB_jogging,none
250,0.008976,,2.0,None,GUDB_05,GUDB_sitting,none
250,0.008976,,2.0,None,GUDB_05,GUDB_maths,none
250,0.008975,,2.0,None,GUDB_05,GUDB_walking,none
250,0.009973,,2.0,None,GUDB_05,GUDB_hand_bike,none
250,0.010971,,2.0,None,GUDB_05,GUDB_jogging,none
250,0.007979,,2.0,None,GUDB_06,GUDB_sitting,none
250,0.007979,,2.0,None,GUDB_06,GUDB_maths,none
